TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
1610612737,Atlanta Hawks,82,56,26,0.683,48.3,34.3,76.9,0.446,8.0,22.4,0.36,18.2,23.8,0.763,12.5,28.7,41.1,19.0,15.0,8.5,5.2,4.0,19.4,0.1,94.8,5.4,1996-97,105.4,106.4,98.9,100.3,6.5,6.2,0.554,1.27,15.5,0.334,0.67,0.505,0.168,0.498,0.542,89.6,88.54,73.78,7304,0.539
1610612738,Boston Celtics,82,15,67,0.183,48.5,37.4,85.0,0.44,5.7,16.2,0.351,20.1,26.8,0.75,13.3,26.7,40.0,21.9,16.4,9.9,3.8,6.8,23.4,0.1,100.6,-7.3,1996-97,100.8,102.9,108.8,110.1,-8.0,-7.2,0.584,1.34,16.1,0.329,0.658,0.482,0.167,0.474,0.52,98.3,96.78,80.65,8014,0.434
1610612766,Charlotte Hornets,82,54,28,0.659,48.3,36.4,77.3,0.471,7.2,16.9,0.428,18.8,24.2,0.777,11.1,28.0,39.1,24.6,14.7,7.3,4.3,4.1,20.8,0.2,98.9,1.9,1996-97,108.0,109.1,105.6,107.1,2.4,2.1,0.676,1.68,19.2,0.316,0.661,0.495,0.162,0.518,0.562,91.1,90.04,75.03,7429,0.528
1610612741,Chicago Bulls,82,69,13,0.841,48.1,40.0,84.4,0.473,6.4,17.1,0.373,16.8,22.5,0.747,15.1,30.0,45.1,26.1,13.5,8.7,4.0,3.5,19.7,0.2,103.1,10.8,1996-97,111.1,112.4,99.2,100.7,12.0,11.8,0.654,1.93,19.4,0.374,0.67,0.524,0.147,0.511,0.547,92.7,91.5,76.25,7522,0.586
1610612739,Cleveland Cavaliers,82,42,40,0.512,48.4,33.0,72.8,0.453,5.9,15.7,0.376,15.6,21.6,0.723,11.1,26.3,37.4,20.9,14.5,8.0,3.8,4.3,23.0,0.2,87.5,1.8,1996-97,102.0,102.7,99.4,100.8,2.6,1.9,0.634,1.44,17.5,0.322,0.681,0.499,0.17,0.493,0.531,85.2,84.31,70.25,6983,0.512
1610612742,Dallas Mavericks,82,24,58,0.293,48.3,34.3,78.7,0.436,5.2,16.0,0.326,16.8,23.4,0.717,12.7,27.6,40.3,20.3,16.1,8.0,4.3,5.3,21.9,0.2,90.6,-6.4,1996-97,98.0,99.5,105.7,106.0,-7.7,-6.5,0.591,1.26,16.0,0.332,0.65,0.488,0.177,0.469,0.509,91.5,90.65,75.54,7464,0.448
1610612743,Denver Nuggets,82,21,61,0.256,48.6,35.8,81.5,0.439,7.8,20.9,0.372,18.5,24.3,0.761,12.1,29.9,42.0,23.0,16.6,6.1,5.9,5.5,21.8,0.2,97.8,-6.3,1996-97,101.2,103.1,108.2,109.7,-7.0,-6.6,0.644,1.39,17.4,0.324,0.666,0.496,0.175,0.486,0.53,95.2,93.67,78.06,7776,0.461
1610612765,Detroit Pistons,82,54,28,0.659,48.4,34.5,74.3,0.464,7.1,18.3,0.388,18.1,24.3,0.745,10.5,28.0,38.4,19.0,12.7,7.7,3.5,3.4,20.1,0.2,94.2,5.2,1996-97,107.9,108.5,101.3,102.6,6.6,5.9,0.55,1.49,16.1,0.302,0.675,0.492,0.146,0.512,0.554,86.9,86.09,71.74,7120,0.53
1610612744,Golden State Warriors,82,30,52,0.366,48.5,36.5,80.1,0.456,5.9,16.6,0.353,20.7,26.6,0.778,13.2,27.5,40.8,22.2,17.2,7.5,4.4,4.8,21.8,0.1,99.6,-4.7,1996-97,104.1,105.3,108.9,110.3,-4.8,-5.0,0.608,1.29,16.8,0.347,0.648,0.497,0.182,0.493,0.543,94.7,93.58,77.98,7761,0.464
1610612745,Houston Rockets,82,57,25,0.695,48.4,37.0,79.1,0.468,8.2,22.4,0.365,18.3,24.3,0.755,11.3,31.3,42.6,24.5,16.6,8.4,4.2,4.5,19.6,0.2,100.6,4.5,1996-97,105.8,107.5,101.4,102.8,4.4,4.7,0.663,1.47,18.7,0.318,0.692,0.514,0.178,0.52,0.56,94.1,92.73,77.27,7674,0.536
1610612754,Indiana Pacers,82,39,43,0.476,48.6,34.8,76.3,0.456,5.2,13.8,0.381,20.6,28.5,0.722,12.5,29.1,41.7,21.3,16.3,7.1,4.8,5.1,24.1,0.3,95.4,1.0,1996-97,103.0,104.2,101.8,102.9,1.2,1.3,0.614,1.31,16.8,0.338,0.668,0.506,0.178,0.49,0.537,91.5,90.44,75.37,7501,0.504
1610612746,Los Angeles Clippers,82,36,46,0.439,48.6,36.5,81.7,0.446,5.8,16.3,0.354,18.5,25.3,0.731,13.3,27.3,40.7,20.3,16.0,8.9,5.4,5.1,24.0,0.1,97.2,-2.4,1996-97,101.8,103.5,104.9,106.2,-3.1,-2.8,0.556,1.27,15.6,0.339,0.654,0.492,0.17,0.482,0.524,94.0,92.65,77.21,7703,0.475
1610612747,Los Angeles Lakers,82,56,26,0.683,48.6,36.8,81.0,0.454,6.7,18.3,0.367,19.7,28.4,0.692,13.3,29.4,42.8,22.5,14.9,9.0,7.0,4.7,22.2,0.1,100.0,4.3,1996-97,105.2,106.4,100.8,102.3,4.3,4.2,0.611,1.51,17.0,0.343,0.658,0.501,0.159,0.496,0.535,93.8,92.61,77.18,7705,0.53
1610612748,Miami Heat,82,61,21,0.744,48.3,34.4,76.0,0.453,8.3,22.7,0.364,17.7,24.7,0.719,11.7,29.3,41.0,21.2,15.9,7.9,5.4,4.8,23.4,0.3,94.8,5.5,1996-97,104.0,105.2,97.9,99.2,6.1,6.0,0.615,1.33,16.9,0.324,0.678,0.504,0.177,0.507,0.546,90.6,89.54,74.62,7393,0.536
1610612749,Milwaukee Bucks,82,33,49,0.402,48.1,36.2,76.9,0.471,4.0,11.2,0.352,19.0,25.7,0.741,11.6,27.6,39.2,19.6,15.7,7.7,4.2,4.8,23.1,0.1,95.3,-1.9,1996-97,103.4,104.7,105.6,106.7,-2.2,-2.0,0.543,1.25,15.8,0.329,0.669,0.501,0.172,0.496,0.541,91.9,90.85,75.71,7465,0.477
1610612750,Minnesota Timberwolves,82,40,42,0.488,48.2,35.8,78.5,0.456,4.5,13.3,0.339,20.0,26.6,0.751,11.7,28.1,39.7,22.9,15.2,7.5,6.8,5.4,22.2,0.2,96.1,-1.5,1996-97,102.6,103.9,103.7,105.5,-1.1,-1.7,0.638,1.51,17.7,0.323,0.649,0.488,0.164,0.485,0.533,93.4,92.04,76.7,7588,0.501
1610612751,New Jersey Nets,82,26,56,0.317,48.2,36.5,86.5,0.422,5.9,16.7,0.353,18.3,24.8,0.74,17.2,29.0,46.2,21.0,15.7,8.3,5.9,6.3,22.7,0.2,97.2,-4.6,1996-97,101.4,102.4,106.5,107.2,-5.1,-4.8,0.576,1.34,15.5,0.376,0.669,0.513,0.166,0.456,0.499,95.3,94.47,78.72,7785,0.457
1610612752,New York Knicks,82,57,25,0.695,48.4,35.1,75.9,0.463,5.7,15.8,0.363,19.3,25.8,0.748,11.9,30.7,42.5,22.1,17.8,7.7,4.6,3.6,24.8,0.2,95.4,3.1,1996-97,102.2,102.9,97.6,99.5,4.6,3.4,0.628,1.24,17.2,0.323,0.7,0.519,0.192,0.501,0.546,93.0,91.84,76.53,7598,0.537
1610612753,Orlando Magic,82,45,37,0.549,48.4,34.6,79.2,0.437,6.9,20.3,0.341,18.0,24.1,0.746,13.1,27.1,40.1,20.6,15.2,8.5,4.4,5.1,20.0,0.1,94.1,-0.4,1996-97,102.3,103.8,103.3,104.2,-1.0,-0.5,0.595,1.35,16.3,0.336,0.651,0.49,0.168,0.481,0.524,90.9,89.88,74.9,7438,0.486
1610612755,Philadelphia 76ers,82,22,60,0.268,48.2,36.6,83.5,0.438,5.3,16.5,0.319,21.7,29.9,0.725,15.5,28.7,44.2,20.7,17.5,8.3,4.8,6.0,21.1,0.1,100.2,-6.5,1996-97,101.4,102.6,108.4,109.5,-6.9,-6.9,0.564,1.18,15.2,0.359,0.654,0.504,0.179,0.47,0.518,98.1,97.05,80.88,8006,0.453
1610612756,Phoenix Suns,82,40,42,0.488,48.4,38.3,81.8,0.469,6.4,17.4,0.369,19.7,25.9,0.761,11.2,29.0,40.1,25.2,14.4,8.1,3.9,4.5,21.1,0.1,102.8,0.7,1996-97,106.7,108.0,105.5,107.1,1.2,0.9,0.658,1.75,18.9,0.297,0.663,0.482,0.151,0.508,0.552,95.8,94.46,78.72,7808,0.509
1610612757,Portland Trail Blazers,82,49,33,0.598,48.4,36.6,78.8,0.464,6.1,17.1,0.358,19.7,27.6,0.713,12.9,30.4,43.3,20.8,16.5,7.8,5.3,5.2,23.5,0.2,99.0,4.2,1996-97,104.6,106.3,100.5,102.1,4.1,4.2,0.57,1.26,16.1,0.358,0.691,0.527,0.178,0.503,0.544,93.7,92.17,76.81,7635,0.527
1610612758,Sacramento Kings,82,34,48,0.415,48.3,36.6,80.6,0.454,5.0,12.9,0.391,18.2,25.2,0.723,13.4,28.1,41.5,21.9,16.2,7.2,4.4,5.2,23.5,0.4,96.4,-3.9,1996-97,101.9,102.7,105.8,107.0,-3.8,-4.3,0.598,1.34,16.8,0.348,0.661,0.502,0.174,0.485,0.526,93.4,92.68,77.23,7654,0.47
1610612759,San Antonio Spurs,82,20,62,0.244,48.1,34.5,77.9,0.442,4.6,14.4,0.32,16.9,23.5,0.719,13.4,26.0,39.4,20.3,15.2,7.9,5.3,5.5,21.5,0.2,90.5,-7.9,1996-97,100.5,102.1,108.8,110.8,-8.3,-8.8,0.588,1.34,16.3,0.344,0.643,0.49,0.171,0.472,0.512,90.0,88.45,73.71,7268,0.44
1610612760,Seattle SuperSonics,82,57,25,0.695,48.2,36.5,78.2,0.467,6.8,19.3,0.353,21.0,28.0,0.752,12.3,27.7,40.0,23.5,15.0,11.0,4.7,5.2,22.0,0.2,100.9,7.7,1996-97,108.2,109.6,99.5,101.0,8.7,8.5,0.644,1.57,18.1,0.341,0.657,0.5,0.163,0.51,0.557,92.9,91.68,76.4,7549,0.562
1610612761,Toronto Raptors,82,30,52,0.366,48.4,35.3,80.9,0.437,7.2,19.8,0.363,17.6,24.5,0.72,13.8,27.5,41.3,20.9,16.4,8.8,6.3,5.4,23.0,0.1,95.5,-3.1,1996-97,101.3,102.9,105.1,106.4,-3.7,-3.5,0.592,1.27,16.1,0.35,0.657,0.498,0.177,0.481,0.521,93.3,92.03,76.69,7608,0.467
